id,title,format,file_bytes,n_sheets,total_rows,max_cols,max_unique_first_col,years_min,years_max,num_views,tags
60a5445e95b44bba98e07fd9617c9b56,"Educação Básica: idade mediana de conclusão, por sexo, no ensino fundamental e médio, segundo as Dependências Administrativas, no Município do Rio de Janeiro entre 1998-2005",xls,19456,1,63,5,17,1998,2010,136,Educação|Ensino médio
646b20dfbf944f21a036f3f50fd80424,"Educação Infantil: Creche - matrícula, por sexo e faixa etária, segundo as Dependências Administrativas, entre 2007-2020",xls,47104,3,150,7,19,2000,2020,172,Educação|Educação básica
6574a63ac2ce4fb39ba528a8c4bdec15,"Educação Infantil e Ensino Fundamental: matrículas inicial e final, por ano, segundo a correspondência entre séries e segmentos na rede pública municipal do Rio de Janeiro, entre 1992-2007",xls,38400,2,134,13,40,1992,2007,139,Educação|Educação básica
6689d169285d45e689e05299eba77083,"Número de matrículas do ensino fundamental por sexo, segmento e Dependências Administrativas, entre 1999-2016",xls,53248,2,127,6,17,1999,2016,66,Educação|Educação básica
6754397155a04352bcda5f3bf389e094,"Média de anos de estudo da população residente, segundo as Regiões Administrativas (RA) do Município do Rio de Janeiro - 2000",xls,33280,1,44,3,36,2000,2000,160,Educação|Escolaridade da população
686ff9e957d74d4dabbff033ab32b9de,"Ensino Médio - Número de escolas e dependências físicas existentes, segundo a dependência administrativa no Município do Rio de Janeiro, entre 2000-2022",xls,80896,5,129,10,12,2000,2022,422,Educação|Ensino médio
68e95cb371fb4db38ecae841dd693a8e,"Número e distribuição percentual de cursos de graduação presenciais, por organização acadêmica, segundo a categoria administrativa no Município do Rio de Janeiro, entre 2000-2022",xls,284672,24,490,8,10,2000,2023,110,Educação|Ensino superior
6a6adb6793054943ae26ffbbb12e6c9c,Número e distribuição percentual das instituições de ensino superior no Brasil e suas 12 maiores capitais entre 2000-2022,xls,62976,24,552,3,15,2000,2023,119,Educação|Ensino superior
6b855fdba6514acb9b1bcfb397d52f87,"Educação Infantil e Ensino Fundamental: relação aluno professor na rede municipal de ensino, segundo as Coordenadorias Regionais de Educação (CRE), entre 2005-2008",xls,21504,2,49,7,17,2005,2008,138,Educação|Educação básica
6b99c568d38646bb97dcf2751c501e7f,"Número de estudantes da rede pública por nível de ensino, segundo as Regiões Administrativas (RA) do Município do Rio de Janeiro, em 2000/2010",xls,61440,2,92,16,36,2000,2010,196,Educação|Escolaridade da população
6bba93cdd9014dac9cdc7c36d226cf15,Número e valor do Investimentos realizados pelo CNPQ em bolsas e no fomento à pesquisa segundo a modalidade no Estado do Rio de Janeiro entre 2001-2015,xls,117760,6,206,19,49,2001,2017,69,Educação|Ensino superior
6bf11f2aba7547ab9f76e4ed2a01d54e,"Número e distribuição percentual de matrículas em cursos de graduação presenciais, por organização acadêmica, segundo a categoria administrativa no Município do Rio de Janeiro, entre 2000-2022",xls,274944,24,480,8,10,2000,2023,182,Educação|Ensino superior
6e09b9320b3b419aa26b310b72d5bb71,"Ensino Fundamental - Número de escolas e dependências físicas existentes, segundo a dependência administrativa no Município do Rio de Janeiro, entre 2000-2022",xls,24576,5,154,10,15,2000,2022,385,Educação|Educação básica
704ff4c359a2445a83e5a3acc49df7c6,"Número e distribuição percentual das instituições de ensino superior por organização acadêmica, segundo a categoria administrativa no Município do Rio de Janeiro, entre 2000-2022",xls,276480,24,509,15,10,2000,2023,251,Educação|Ensino superior
70fa662476ea4c7fb2317807e0c2a703,"Educação Infantil: Ensino fundamental, Educação Especial, Programa de Educação de Jovens e Adultos (PEJ) - turmas e alunos matriculados na rede pública municipal, segundo as Coordenações Regionais de Educação (CRE) e matrícula inicial, entre 1999-2013",xls,280576,15,645,29,15,1999,2013,87,Educação|Educação básica
73789aeca2c647e9976e7534dee8428e,Educação Infantil - Percentual de matrículas na educação infantil em comparação com a matrícula total na rede pública no Município do Rio de Janeiro entre 1999-2008,xls,15872,1,20,4,11,1999,2008,110,Educação|Educação básica
